bote,"woven basket carried on the back by a strap,often around the forehead","agriculture - equipment,household"
brutu,"aggressive,rough",character
dukur door,sleepy-head,character
fanátiku/a,fanatic,character
garidu/a,flirt,character
gastadór,"wasteful person,spendthrift",character
hahalok aat,body. badly-behaved,character
hahalok diak,"body. well-behaved,does good things",character
ibun boot,body. big-mouth,character
kaan-teen,"glutton,greedy (eats large amounts quickly and unsociably)",character
kalma,"calm,unruffled",character
karak,"stingy,mean",character
karak-teen,"stingy,mean",character
karidade,charity,character
koalia door,chatterbox,character
kulit karau,"body. thick-skinned,shamless,feels no shame",character
kulit mahar,"body. intractable,doesn't respond to disciplinary beating",character
lanu-teen,"drunkard,alcoholic",character
laran aat,"body. nasty,wicked,callous",character
laran diak,"body. kind-hearted,kind,helpful,good,nice",character
laran luak,"body. very kind,helpful,generous",character
laran makerek,"body. two-faced,hypocritical",character
laran moos,"body. good,honest,have integrity,decent,holy",character
liman aat,body. habitual thief,character
liman fuik,"body. clumsy,'all thumbs'",character
liman lais,"body. clever thief,light-fingered",character
liman naruk1,"body. light-fingered,thief,has a tendency to steal",character
malandru,impudent,character
maledukadu,"uncouth,rude",character
malkriadu/a,"rude,ill-mannered",character
manya,"spoiled (of child who cries when not given whatever they want),demanding,want one's own way",character
matan been mamar,"body. easily moved to tears,sensitive",character
matan feto,"body. flirt,on the prowl,on the lookout for girls",character
matan moris,"body. girl-crazy,boy-crazy; on the lookout for the other sex,on the prowl; keep swapping girlfriends/boyfriends",character
matan osan,"body. money-hungry,greedy for money",character
mentál,self-confidence in public,character
mentál fraku,body. self-conscious,character
mentál la iha,"body. timid,shy",character
moe door,"very shy,timid",character
nakar,"mischievous,cheeky",character
nakar-teen,"naughty,delinquent,trouble-maker",character
nervozu aat,"body. quick-tempered,irritable,bad-tempered",character
nervozudór,"quick-tempered,irritable,bad-tempered",character
nervus aat,"body. quick-tempered,irritable,bad-tempered",character
oin mahar,"body. unashamed,shameless,thick-skinned",character
raan manas,"body. bad-tempered,hot-tempered",character
servisu door,diligent; hard-working,character
servisu nain,"diligent; hard-working (especially at one's own work),good at one's work",character
siak-teen,stern disciplinarian; cranky,character
tanis-teen,crybaby (of child who cries easily),character
tauk-teen,"coward,cowardly",character
-teen3,suf. Follows a verb or adjective to create a compound describing a person who is habitually like this. It is used only for negatively-valued characteristics; e.g. teen9baruk-teen 'person who is habitually lazy' from baruk 'lazy',character
teen toos,"stingy,cautious about giving or spending money,tight-fisted",character
tua teen,"drunkard,wino,boozer",character
ulun bulak,"body. promiscuous; play up,wild",character
ulun fatuk toos,body. stubborn,character
ulun mamar,"body. intelligent,fast learner,bright,co-operative; compliant",character
ulun moruk,body. stubborn,character
ulun rua,"body. double agent,traitorous,professes allegiance to two opposing nations or parties",character
ulun toos,"body. stubborn,rebellious,headstrong; cheeky; slow learner",character
daun,needle,"clothes - other,health - equipment"
alfineti,safety pin,clothes - other
amostra,sewing pattern,clothes - other
daun suku ropa,sewing needle,clothes - other
elastik,elastic,clothes - other
graixa,polish (shoes),clothes - other
hena,"cloth,fabric,material; clothes,clothing; screen",clothes - other
liman badak,short-sleeved,clothes - other
liman naruk2,long-sleeved,clothes - other
mákina suku ropa,sewing machine,clothes - other
moda,fashion,clothes - other
morteen musan,traditional high-value orange bead,clothes - other
pontu krús,cross-stitch,clothes - other
reb-rebo,adv. many varied,clothes - other
riskadu,striped,clothes - other
bolsu,"pocket,pouch","clothes - parts,animals - parts"
butaun,button,clothes - parts
feskuleiru,zip,clothes - parts
gola,collar,clothes - parts
sapatu talin,shoelace,clothes - parts
sintura,waist (of a garment); waistband,clothes - parts
takaun,heel (of shoe),clothes - parts
hatais,"wear,get dressed,put on (clothes)",clothes - processes
kabala,"wear,gird,tie (e.g. sarong) around the waist or chest",clothes - processes
kolu,take off (clothes),clothes - processes
soru1,weave (cloth),clothes - processes
farda,uniform,"clothes,army - other,police - other"
vernís,(wood) varnish; nail polish,"clothes,building materials and equipment"
lutu2,black clothes or cloth worn during mourning,"clothes,death"
oklu,"glasses,spectacles; goggles","clothes,health - equipment"
xapeu,"hat,cap,baby bonnet; circumflex","clothes,linguistics"
batina,cassock,"clothes,religion - other"
argola,"hoop,hoop earring","clothes,sport"
kalsa training,tracksuit pants,"clothes,sport"
morteen,traditional bead necklace,"clothes,tradition"
badaak,"powder,talcum powder",clothes
bikini,bikini,clothes
bluza,blouse,clothes
bóinya,beret,clothes
botas,boot,clothes
brinkus,earring,clothes
faru,"top (shirt,blouse,...)",clothes
faru manas,"jumper,sweater,cardigan",clothes
fatu,suit (of clothes),clothes
feixu,"hair clip,bobby pin",clothes
fralda,"(cloth) nappy,diaper",clothes
fuuk falsu,wig,clothes
gravata,"tie,necktie",clothes
guardaxuva,umbrella,clothes
jakét,"jacket,windcheater",clothes
jíns,jeans,clothes
kabaya,"traditional women's blouse pinned in the front,usually worn with a sarong",clothes
kadeli,ring (for finger),clothes
kakehe,(hand-held) fan,clothes
kalsa,"trousers,pants,jeans",clothes
kalsa badak,shorts,clothes
kalsa jíns,jeans,clothes
kalsa laran,underpants,clothes
kalsa naruk,"trousers,long pants",clothes
kalsaun,shorts,clothes
kalsinya,panties,clothes
kamiza,shirt,clothes
kamiza liman badak,short-sleeved shirt,clothes
kamiza liman naruk,long-sleeved shirt,clothes
kamizinya,camisole,clothes
kamizola,T-shirt,clothes
kampanya2,women's sarong,clothes
kapa1,"raincoat,poncho",clothes
kazaku,"coat,jacket",clothes
kelu,women's bracelet (of single band),clothes
korenti,chain; (chain) necklace,clothes
koroa,crown,clothes
kreme,"cream,moisturising cream",clothes
kuekas,(men's) underpants,clothes
lipa,sarong,clothes
luvas,glove,clothes
luvas boraxa,rubber gloves,clothes
luvas meias,work gloves,clothes
makaku2,"overalls,dungarees",clothes
medalya,medal,clothes
meias,sock,clothes
neras,swaddling cloth (to wrap baby in),clothes
oklu metan,sunglasses,clothes
oras2,"watch,clock",clothes
pulseira,bracelet (of chain),clothes
relójiu liman,"watch,wristwatch",clothes
relójiu talin,watch band,clothes
rompi,waistcoat,clothes
ropa,"clothes,clothing",clothes
saia,skirt,clothes
saiote,"half-slip,petticoat",clothes
sandálias,sandal,clothes
sapatilya,"sports shoe,running shoe,sandshoe",clothes
sapatu1,shoe (with enclosed heel),clothes
sapatu botas,boot,clothes
sapatu kets,"sports shoe,running shoe,sandshoe",clothes
sapatu kulit,leather shoe,clothes
selendang,long narrow hand-woven cloth,clothes
sintu,belt,clothes
stoking,stocking,clothes
sumbrinya,"parasol,umbrella",clothes
sutián,"bra,brassiere",clothes
tais,large hand-woven traditional cloth,clothes
tais feto,"traditional hand-woven cloth for women,sewn into a tube",clothes
tais mane,long traditional hand-woven cloth for women,clothes
ulsuku,traditional hairpin with an old coin,clothes
veo,veil,clothes
vestidu,dress,clothes
xinelus,thongs; flip-flops,clothes
xokas,slip-on sandal,clothes
kamutis,"pale (of skin when a person is sick),faded","colour,health - signs and symptoms"
amarelu,yellow,colour
azúl,blue,colour
kinur2,yellow,colour
kór,colour,colour
kór de laranja,orange (colour),colour
kór de roza,pink,colour
kór kafé,brown,colour
kór kreme,"cream-coloured,cream (colour)",colour
makerek,"multi-coloured,patterned",colour
malahuk,"grey,fuzzy,hazy,blurred",colour
mean,red; golden; rash,colour
metan,black,colour
modok,green,colour
morenu/a,light brown,colour
verdi,green,colour
Áfrika,np. Africa; African,continents
Amérika Norte,np. North America; North American,continents
Amérika Súl,np. South America; South American,continents
Antártika,np. Antarctica,continents
Eropa,np. Europe; European,continents
matak,"raw,uncooked,not boiled (of water); unripe; green (natural colour)","cooking - other,agriculture - other,colour"
masa1,"wet cement mix (cement,sand and water),plaster; grease; dough","cooking - other,building materials and equipment"
reseita,recipe; prescription,"cooking - other,health - equipment"
tasak,"ripe (of fruit); mature; cooked (of food); boiled (of water),productive (of a cough),black and blue (bruised) all over","cooking - other,health - other,agriculture - other"
kozinyeiru/a,"cook,chef","cooking - other,profession"
grosu,thick (consistency),cooking - other
mat-matak,al dente,cooking - other
menu,menu,cooking - other
toradu,crispy (of toasted or fried food),cooking - other
kaleen,"tin can,tin,can; corrugated iron,roofing iron","cooking equipment,building materials and equipment,water and sanitation"
dapur,kitchen,"cooking equipment,building parts"
garfu,fork; garden fork; rake,"cooking equipment,tools - types"
kanuru,"spoon; shovel,spade; trowel","cooking equipment,tools - types"
koadór,"strainer; filter,coffee filter","cooking equipment,water and sanitation"
tudik,small sharp knife,"cooking equipment,weapons,health - equipment"
abrelata,"can-opener,tin-opener",cooking equipment
ai duir,rolling pin,cooking equipment
ai tetak,chopping board,cooking equipment
alu,pestle (to crush food in a mortar),cooking equipment
bandeja,tray (for carrying food or drinks),cooking equipment
baríl,"barrel,cask",cooking equipment
bibirón,baby bottle,cooking equipment
bikan,plate,cooking equipment
buli1,teapot; coffee pot; jug,cooking equipment
fatuk inan,stone mortar (to crush food finely),cooking equipment
fatuk oan,stone pestle (a club-shaped instrument for grinding substances in a mortar),cooking equipment
fogaun,stove,cooking equipment
fogaun gás,gas stove,cooking equipment
forma,mould; cake tin,cooking equipment
fornu,oven,cooking equipment
garafaun,flagon,cooking equipment
jeleira,"refrigerator,fridge",cooking equipment
jeleira leten,freezer (compartment of fridge),cooking equipment
kanedok,ladle,cooking equipment
kaneka,plastic cup,cooking equipment
kanuru oan,teaspoon,cooking equipment
kopu,(drinking) glass,cooking equipment
lafatik,wide shallow basket used for cleaning/tossing grain,cooking equipment
lalian,"hearth,triangle of three cooking stones",cooking equipment
lata,"tin can,can,tin",cooking equipment
lesu,"mortar (of wood or stone,to pound corn or other items)",cooking equipment
manko,bowl,cooking equipment
oron,long wooden mortar used to pound sago,cooking equipment
pasadór,tea strainer,cooking equipment
piris,saucer,cooking equipment
sanan,"saucepan,pot",cooking equipment
sanan kukus,steamer (for steaming food),cooking equipment
sanan rai,earthen pot,cooking equipment
tabun gás,gas bottle,cooking equipment
taxu,wok (with two round handles),cooking equipment
