bote  ,"n. woven basket carried on the back by a strap, often around the forehead. ","Category: agriculture - equipment, household."
liman fuan sanak  ,n. sixth finger. ,Category: body parts.
liman karuk  ,1 • n. left hand; left (direction). ,Category: body parts.
liman kukun  ,n. fingernail. ,Category: body parts.
liman laran  ,n. palm (of hand). ,Category: body parts.
liman loos  ,1 • n. right hand; right (direction). ,Category: body parts.
liman sikun  ,n. elbow. ,Category: body parts.
mamiik  ,n. (urinary) bladder. ,Category: body parts.
manu raan  ,n. 1 • wart. ,Category: body parts.
matan  ,n. eye. ,Category: body parts.
matan been  ,n. tear (from the eye). ,Category: body parts.
matan fuan  ,n. eyeball. ,Category: body parts.
matan fukun  ,n. bone under the eyebrow. ,Category: body parts.
matan fulun  ,n.  ,Category: body parts.
matan ikun  ,n. outer side of eye. ,Category: body parts.
matan musan  ,n. eyeball. ,Category: body parts.
matan teen  ,n. sleep (in the eyes). ,Category: body parts.
naga1  ,n. birthmark. ,Category: body parts.
nanaal  ,n. tongue. ,Category: body parts.
nehan  ,n. tooth. ,Category: body parts.
nehan abut  ,n. root of tooth. ,Category: body parts.
nehan isin  ,n. gum(s). ,Category: body parts.
neon1  ,n. mind. ,Category: body parts.
oan fatin  ,"n. womb, uterus. ",Category: body parts.
oin  ,"nloc. face, front; type, kind, sort; next (year...) ",Category: body parts.
oin lulik  ,"n. private parts, genitals. ",Category: body parts.
ook  ,n. spleen. ,Category: body parts.
peitu  ,n. pectoral muscle. ,Category: body parts.
penis  ,n. penis. ,Category: body parts.
pulmaun  ,n. lungs. ,Category: body parts.
raan  ,1 • n. blood. ,Category: body parts.
reen toos  ,n. forehead. ,Category: body parts.
relasaun seksuál  ,"n. sexual intercourse, sexual relations. ",Category: body parts.
ríns  ,n. kidney. ,Category: body parts.
ruin  ,n. bone. ,Category: body parts.
ruin kotuk  ,"n. spine, backbone, spinal column. ",Category: body parts.
sasaan lulik  ,"n. private parts, genitals. ",Category: body parts.
susun matan  ,"n. nipple, teat. ",Category: body parts.
tee fatin  ,n. anus. ,Category: body parts.
tee oan  ,n. intestines. ,Category: body parts.
tee oan boot  ,n. large intestine. ,Category: body parts.
tee oan kiik  ,n. small intestine. ,Category: body parts.
teen1  ,n. intestines. ,Category: body parts.
teen boot  ,n. large intestine. ,Category: body parts.
teen kiik  ,n. small intestine. ,Category: body parts.
tilun been  ,n. discharge from ears. ,Category: body parts.
tilun huun  ,n. behind one's ears. ,Category: body parts.
tilun kuak  ,n. ear-hole. ,Category: body parts.
tilun tahan  ,n. ear (outer visible part). ,Category: body parts.
tilun teen  ,n. ear wax. ,Category: body parts.
uat  ,n.  ,Category: body parts.
ulun fatuk  ,"n. head; skull, cranium. ",Category: body parts.
ulun fatuk ruin  ,n. skull (without flesh on it). ,Category: body parts.
vajina  ,n. vagina. ,Category: body parts.
baktéria  ,n. bacteria. ,"Category: bugs, causes of illness, water and sanitation."
kutun  ,"n. flea; louse, lice. ","Category: bugs, causes of illness."
ular  ,"n. crawling creatures, including worms, grubs, centipedes, and caterpillars. ","Category: bugs, water and sanitation, causes of illness."
asu kutun  ,n. flea. ,Category: bugs.
bani  ,n. bee. ,Category: bugs.
barata  ,n. cockroach. ,Category: bugs.
borboleta  ,"n. butterfly, moth. ",Category: bugs.
dihi  ,n. wasp. ,Category: bugs.
fuhuk  ,n. weevil. ,Category: bugs.
gafanyotu  ,"n. grasshopper, locust. ",Category: bugs.
grilu  ,n. cricket (insect). ,Category: bugs.
insetu  ,n. insect. ,Category: bugs.
karakól  ,n. snail. ,Category: bugs.
labadain  ,n. spider; spiderweb. ,Category: bugs.
lalar1  ,n. fly. ,Category: bugs.
nati  ,n. bedbug. ,Category: bugs.
nehek  ,n. ant. ,Category: bugs.
pirilampu  ,n. firefly. ,Category: bugs.
sakunar  ,n. scorpion. ,Category: bugs.
sigara  ,n. cicada. ,Category: bugs.
sintupeia  ,n. centipede. ,Category: bugs.
susuk  ,n. mosquito. ,Category: bugs.
tekilili  ,n. dragonfly. ,Category: bugs.
ular katar  ,n. itchy grub. ,Category: bugs.
ular metan  ,n. leech. ,Category: bugs.
ular oan  ,"n. small worm, grub, maggot, larvae. ",Category: bugs.
ular susu raan  ,n. leech. ,Category: bugs.
utu  ,"n. headlouse, head lice. ",Category: bugs.
tahan2  ,"cls. classifier for counting thin flat objects such as paper, roofing iron, masonite, or playing cards. Some (mainly outside of Dili) use it for clothes. ","Category: building - other, office equipment."
andár  ,"1 • n. storey, floor; tier. ",Category: building - other.
naksobu  ,"vi. come apart, fall apart, demolished, unravel, collapse. ",Category: building - other.
uma andár  ,n. multi-storey building. ,Category: building - other.
taka  ,"vti. close, shut; block; cover, patch (e.g. a tyre); put on, wear (a hat); stick on (a sticker, poster...); turn off. ","Category: building - processes, health - procedures."
tesi  ,"vt. 1 • chop, sever, cut across the width. ","Category: building - processes, health - procedures."
sukat  ,vt. measure. ,"Category: building - processes, water and sanitation, size."
hadia  ,"vt. repair, fix, make right, reform. ","Category: building - processes, water and sanitation."
monta  ,"vt. set up, install, fit, assemble (parts); hang (a door/window). ","Category: building - processes, water and sanitation."
atera  ,vt. fill holes with dirt to level the ground. ,Category: building - processes.
fera  ,vt. split. ,Category: building - processes.
futu  ,vt. tie into bundles; bind. ,Category: building - processes.
hada  ,"vt. stack, lay (bricks). ",Category: building - processes.
halo  ,"vt v-atu. make, build, create; cause; do. ",Category: building - processes.
harii  ,"vt. set up, raise (to a vertical position); establish, found, form; erect, build. ",Category: building - processes.
instalasaun  ,n. installation. ,Category: building - processes.
konstrusaun  ,n. construction. ,Category: building - processes.
liga  ,"vt. join, connect; relate to, have a good relationship with. ",Category: building - processes.
loke  ,"vt. open; turn on; take off, remove (a covering). ",Category: building - processes.
nahe  ,"vt. spread out (a cloth/mat over a flat surface); lay (tiles, cement). ",Category: building - processes.
pika  ,vt. chisel out. ,Category: building - processes.
pinta  ,"vt. paint, draw. ",Category: building - processes.
prega  ,"vt. nail; button up, do up (a button). ",Category: building - processes.
reabilitasaun  ,n. rehabilitation. ,Category: building - processes.
reboka  ,vt. plaster (a wall). ,Category: building - processes.
rehab  ,vt. rehabilitate (buildings). ,Category: building - processes.
sobu  ,"vt. take to pieces, dismantle, demolish, break up, pull apart. ",Category: building - processes.
taa  ,"vt. 1 • chop (with an axe or machette), fell (tree). ",Category: building - processes.
saku  ,"n. bag, sack. ","Category: building materials and equipment, agriculture - equipment."
tali tahan  ,n. tali palm leaf (eg. used for thatching). ,"Category: building materials and equipment, plant parts."
vidru  ,"n. 1 • glass; window pane, window (of vehicle), louvre. ","Category: building materials and equipment, vehicles - parts."
materiál  ,"n. equipment, materials (for building, education, etc.; not 'cloth'). ","Category: building materials and equipment, water and sanitation, health - equipment."
besi  ,n. iron; metal. ,"Category: building materials and equipment, water and sanitation."
zinku  ,"n. corrugated iron, roofing iron. ","Category: building materials and equipment, water and sanitation."
ai kabelak  ,"n. plank, board. ",Category: building materials and equipment.
aldame  ,n. scaffolding. ,Category: building materials and equipment.
azuleju  ,n. glazed tile (used on floor or wall). ,Category: building materials and equipment.
bebak  ,n. stalk of palm leaves used to build house walls. ,Category: building materials and equipment.
besi asu  ,n.  ,Category: building materials and equipment.
blok  ,n. cement block. ,Category: building materials and equipment.
fatuk rahun  ,n. gravel. ,Category: building materials and equipment.
fiu  ,"n. wire, cable. ",Category: building materials and equipment.
goma lakan  ,n. (wood) varnish. ,Category: building materials and equipment.
paralón  ,n. plastic pipe. ,Category: building materials and equipment.
piku  ,"n. prefabricated panel made of bebak (palm leaf stalks), used to build walls. ",Category: building materials and equipment.
rota  ,n. cane (e.g. for hitting someone). ,Category: building materials and equipment.
sementi  ,"n. cement, concrete, plaster (for walls). ",Category: building materials and equipment.
sementi rahun  ,n. cement (in powder form). ,Category: building materials and equipment.
sementi uut  ,n. cement (in powder form). ,Category: building materials and equipment.
telya  ,n. roof tile. ,Category: building materials and equipment.
tijolu  ,n. brick. ,Category: building materials and equipment.
triplek  ,n. plywood. ,Category: building materials and equipment.
foru  ,"1 • n. ceiling, lining. ","Category: building parts, clothes - parts."
eskada  ,"n. stairs, steps, staircase; ladder. ","Category: building parts, tools - types."
sentina  ,n. toilet. ,"Category: building parts, water and sanitation."
ai laras  ,n. roof beam (going from the roof top down to the bottom of the roof). ,Category: building parts.
ai latan  ,n. (horizontal) roof beam. ,Category: building parts.
ai riin  ,"n. wooden post, pole. ",Category: building parts.
aliserse  ,n. foundations (of building). ,Category: building parts.
andár leten  ,n. top floor. ,Category: building parts.
andár okos  ,n. ground floor. ,Category: building parts.
arus  ,n. (door or window) frame. ,Category: building parts.
baki  ,n. low outside wall. ,Category: building parts.
despensa  ,"n. pantry, larder. ",Category: building parts.
didin  ,"1 • n. wall (of palm-leaf stalks, wood, plywood or bamboo). ",Category: building parts.
didin lolon  ,n. wall. ,Category: building parts.
dobralisa  ,n. hinge. ,Category: building parts.
fondasi  ,n. foundations (of building). ,Category: building parts.
janela  ,n. window. ,Category: building parts.
kakuluk  ,n. roof; top ridge of roof. ,Category: building parts.
kuartu1  ,"n. bedroom, room. ",Category: building parts.
lutu1  ,"n. fence, hedge. ",Category: building parts.
moru  ,n. high perimeter wall around a property or estate (made of blocks or bricks). ,Category: building parts.
odamatan  ,"n. door; gate, entrance. ",Category: building parts.
odamatan kotuk  ,n. back door. ,Category: building parts.
odamatan oin  ,n. front door. ,Category: building parts.
paredi  ,n. wall made of bricks/block/plaster. ,Category: building parts.
portaun  ,n. gate. ,Category: building parts.
riin  ,"n. post, pole. ",Category: building parts.
sala2  ,"n. room, hall, classroom, schoolroom. ",Category: building parts.
sala vizita  ,"n. lounge, front room (room at the front of a house where visitors are received). ",Category: building parts.
uma huun  ,"n. yard, land around a house, agricultural plot next to a house. ",Category: building parts.
uma kakuluk  ,"n. roof; ridge cap, top ridge of roof. ",Category: building parts.
uma laran  ,n. household; domestic. ,Category: building parts.
uma tatiis  ,n. eaves. ,Category: building parts.
varanda  ,"n. verandah, balcony. ",Category: building parts.
uma laleo  ,n. small hut on a farm or in rice fields. ,"Category: building types, agriculture - other."
apartamentu  ,n. apartment. ,Category: building types.
baraka  ,"n. hut, temporary shelter. ",Category: building types.
kos  ,"n. lodging, rented room to live in. ",Category: building types.
palásiu  ,"n. large governmnent building (the president's palace, and government house). ",Category: building types.
rezidénsia  ,n. residence. ,Category: building types.
tenda  ,"n. tent, temporary shelter. ",Category: building types.
uma1  ,"n. house, building, home. ",Category: building types.
uma duut  ,n. house with thatched grass roof. ,Category: building types.
uma mutin  ,n. modern block house. ,Category: building types.
uma tali  ,n. house with thatched palm-leaf roof. ,Category: building types.
aas2  ,n. ace (in cards). ,Category: cards.
